43556,34927,38629,39242
41936,33307,37009,37622
41089,32460,36162,36775
39865,31236,34938,35551
39327,30698,34400,35013
39231,30602,34304,34917
37007,28378,32080,32693
39513,30884,34586,35199
38850,30221,33923,34536
38263,29634,33336,33949
34927,26298,30000,30613
38031,29402,33104,33717
38621,29992,33694,34307
39882,31253,34955,35568
39736,31107,34809,35422
41348,32719,36421,37034
38694,30065,33767,34380
37814,29185,32887,33500
36453,27824,31526,32139
38928,30299,34001,34614
37534,28905,32607,33220
37471,28842,32544,33157
38392,29763,33465,34078
36295,27666,31368,31981
35104,26475,30177,30790
35668,27039,30741,31354
38829,30200,33902,34515
38019,29390,33092,33705
40114,31485,35187,35800
39462,30833,34535,35148
39269,30640,34342,34955
38876,30247,33949,34562
38130,29501,33203,33816
38451,29822,33524,34137
37759,29130,32832,33445
38465,29836,33538,34151
39898,31269,34971,35584
38038,29409,33111,33724
35900,27271,30973,31586
36236,27607,31309,31922
39347,30718,34420,35033
38448,29819,33521,34134
39558,30929,34631,35244
39063,30434,34136,34749
38698,30069,33771,34384
37442,28813,32515,33128
38402,29773,33475,34088
39503,30874,34576,35189
39638,31009,34711,35324
39812,31183,34885,35498
40667,32038,35740,36353
39418,30789,34491,35104
36286,27657,31359,31972
37160,28531,32233,32846
39064,30435,34137,34750
41122,32493,36195,36808
39980,31351,35053,35666
40074,31445,35147,35760
38557,29928,33630,34243
36292,27663,31365,31978
36911,28282,31984,32597
